season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2017,1,2017-09-04,Belgium,Russia,67,76,249,0,2,2,18,13,0,8,66
2017,1,2017-09-04,Hungary,Czech Republic,85,73,250,0,2,2,21,12,0,34,21
2017,1,2017-09-04,Latvia,Great Britain,97,92,251,0,2,2,10,16,0,48,31
2017,1,2017-09-05,Israel,Georgia,91,104,252,0,2,2,16,15,0,41,29
2017,1,2017-09-05,Turkey,Belgium,78,65,253,0,1,1,11,19,0,79,8
2017,1,2017-09-05,Romania,Hungary,71,80,254,0,1,1,11,22,0,65,34
2017,1,2017-09-05,Greece,Finland,77,89,255,0,2,2,9,11,0,32,27
2017,1,2017-09-05,Italy,Germany,55,61,256,0,2,2,10,15,0,42,30
2017,1,2017-09-05,Croatia,Spain,73,79,257,0,1,1,9,13,0,19,74
2017,1,2017-09-05,Great Britain,Serbia,68,82,258,0,1,1,17,6,0,31,69
2017,1,2017-09-05,Poland,France,75,78,259,0,2,2,16,12,0,61,28
2017,1,2017-09-05,Ukraine,Lithuania,62,94,260,0,2,2,17,13,0,82,50
2017,1,2017-09-05,Czech Republic,Montenegro,75,88,261,0,1,1,13,17,0,21,53
2017,1,2017-09-05,Russia,Latvia,69,84,262,0,1,1,14,11,0,66,48
2017,1,2017-09-05,Iceland,Slovenia,75,102,263,0,2,2,18,17,0,35,71
2017,1,2017-09-06,Finland,Iceland,83,79,264,0,1,1,12,19,0,27,35
2017,1,2017-09-06,Israel,Ukraine,64,88,265,0,1,1,17,18,0,41,82
2017,1,2017-09-06,Georgia,Italy,69,71,266,0,1,1,16,11,0,29,42
2017,1,2017-09-06,Greece,Poland,95,77,267,0,1,1,10,17,0,32,61
2017,1,2017-09-06,Germany,Lithuania,72,89,268,0,1,1,16,14,0,30,50
2017,1,2017-09-06,Slovenia,France,95,78,269,0,1,1,18,13,0,71,28
2017,1,2017-09-07,Latvia,Turkey,89,79,270,0,2,2,12,12,0,48,79
2017,1,2017-09-07,Montenegro,Romania,86,69,271,0,2,2,18,12,0,53,65
2017,1,2017-09-07,Belgium,Serbia,54,74,272,0,2,2,20,7,0,8,69
2017,1,2017-09-07,Hungary,Spain,64,87,273,0,2,2,23,14,0,34,74
2017,1,2017-09-07,Czech Republic,Croatia,69,107,274,0,2,2,14,10,0,21,19
2017,1,2017-09-07,Russia,Great Britain,82,70,275,0,2,2,15,18,0,66,31
2017,1,2017-09-09,Lithuania,Greece,64,77,276,0,3,3,15,11,0,50,32
2017,1,2017-09-09,Finland,Italy,57,70,277,0,3,3,13,12,0,27,42
2017,1,2017-09-09,Germany,France,84,81,278,0,3,3,17,14,0,30,28
2017,1,2017-09-09,Slovenia,Ukraine,79,55,279,0,3,3,19,19,0,71,82
2017,1,2017-09-10,Croatia,Russia,78,101,280,0,3,3,11,16,0,19,66
2017,1,2017-09-10,Spain,Turkey,73,56,281,0,3,3,15,13,0,74,79
2017,1,2017-09-10,Serbia,Hungary,86,78,282,0,3,3,8,24,0,69,34
2017,1,2017-09-10,Latvia,Montenegro,100,68,283,0,3,3,13,19,0,48,53
2017,1,2017-09-12,Slovenia,Latvia,103,97,284,0,3,2,20,14,0,71,48
2017,1,2017-09-12,Germany,Spain,72,84,285,0,3,2,18,16,0,30,74
2017,1,2017-09-13,Italy,Serbia,67,83,286,0,4,3,13,9,0,42,69
2017,1,2017-09-13,Greece,Russia,69,74,287,0,4,3,12,17,0,32,66
2017,1,2017-09-14,Spain,Slovenia,72,92,288,0,2,2,17,21,0,74,71
2017,1,2017-09-15,Russia,Serbia,79,87,289,0,2,2,18,10,0,66,69
2017,1,2017-09-17,Slovenia,Serbia,93,85,290,0,3,2,22,11,0,71,69
2017,1,2017-09-17,Spain,Russia,93,85,291,0,3,2,18,19,0,74,66
