date,home,away,home_score,away_score
23.02. 16:00,Bulgaria,Czech Republic,76,78
23.02. 15:30,Uganda,Nigeria,86,102
23.02. 15:00,Syria,Lebanon,63,87
23.02. 14:30,Senegal,Central African Republic,70,65
23.02. 13:30,India,Jordan,88,102
23.02. 12:00,Israel,Great Britain,82,75
23.02. 11:30,China,New Zealand,73,82
23.02. 10:30,South Korea,Hong Kong,93,72
23.02. 01:00,Bahamas,Dominican Republic,63,96
23.02. 00:15,Venezuela,Chile,77,56
22.02. 22:00,Brazil,Colombia,84,49
22.02. 21:30,United States Virgin Islands,Canada,89,118
22.02. 14:30,Iraq,Qatar,66,77
22.02. 14:00,Kazakhstan,Iran,54,75
22.02. 10:30,Japan,Chinese Taipei,69,70
22.02. 08:35,Australia,Philippines,84,68
28.11. 01:00,Bahamas,United States Virgin Islands,85,93
28.11. 01:00,Colombia,Chile,69,74
28.11. 00:00,Dominican Republic,Canada,88,76
27.11. 22:30,Brazil,Venezuela,72,60
27.11. 19:45,France,Bosnia & Herzegovina,84,65
27.11. 19:45,Iceland,Bulgaria,74,77
27.11. 19:20,Austria,Germany,49,90
27.11. 19:00,Serbia,Georgia,105,87
27.11. 17:00,Estonia,Great Britain,73,70
27.11. 16:30,Finland,Czech Republic,56,64
27.11. 15:00,Greece,Israel,82,61
27.11. 14:00AOT,Kazakhstan,Iraq,82,76
27.11. 14:00,Russia,Belgium,76,69
27.11. 13:30,Iran,Qatar,65,39
27.11. 11:30,Philippines,Chinese Taipei,90,83
27.11. 08:30,Australia,Japan,82,58
27.11. 01:00,Cuba,Puerto Rico,72,95
26.11. 23:30,Uruguay,Paraguay,67,49
26.11. 22:00,USA,Mexico,91,55
26.11. 21:00,Panama,Argentina,59,68
26.11. 19:30,Cameroon,Tunisia,66,67
26.11. 18:30,Spain,Slovenia,92,84
26.11. 18:00,Hungary,Kosovo,84,76
26.11. 17:30,Lithuania,Poland,75,55
26.11. 17:00,D.R. Congo,Angola,64,73
26.11. 17:00,Guinea,Chad,51,85
26.11. 17:00,Jordan,Lebanon,87,83
26.11. 17:00,Croatia,Italy,64,80
26.11. 17:00,Romania,Netherlands,75,68
26.11. 16:30,Belarus,Montenegro,67,91
26.11. 16:00,Ukraine,Turkey,60,67
26.11. 15:00,Latvia,Sweden,82,73
26.11. 14:30,Morocco,Egypt,63,67
26.11. 13:30,India,Syria,57,74
26.11. 12:00,Hong Kong,New Zealand,74,133
26.11. 10:00,South Korea,China,81,92
25.11. 19:30,Cameroon,Guinea,116,78
25.11. 17:00,Egypt,Angola,64,68
25.11. 17:00,Tunisia,Chad,101,40
25.11. 14:30AOT,Morocco,D.R. Congo,88,81
25.11. 00:15,Canada,Bahamas,93,69
25.11. 00:15,Venezuela,Colombia,85,71
25.11. 00:00,Chile,Brazil,73,86
25.11. 00:00,Dominican Republic,United States Virgin Islands,99,89
24.11. 19:30,Chad,Cameroon,60,65
24.11. 19:30,Belgium,France,59,70
24.11. 19:30AOT,Great Britain,Greece,92,95
24.11. 19:30,Slovenia,Belarus,87,74
24.11. 19:15,Italy,Romania,75,70
24.11. 19:00,Montenegro,Spain,66,79
24.11. 19:00,Netherlands,Croatia,68,61
24.11. 19:00,Serbia,Austria,85,64
24.11. 18:30,Germany,Georgia,79,70
24.11. 18:00,Kosovo,Lithuania,61,99
24.11. 18:00,Sweden,Ukraine,76,84
24.11. 17:45,Bosnia & Herzegovina,Russia,81,76
24.11. 17:15,Poland,Hungary,70,60
24.11. 17:00,Angola,Morocco,62,56
24.11. 17:00,Guinea,Tunisia,56,96
24.11. 17:00,Iraq,Iran,74,66
24.11. 17:00,Bulgaria,Finland,80,82
24.11. 17:00,Czech Republic,Iceland,89,69
24.11. 16:00,Turkey,Latvia,85,73
24.11. 15:00,Qatar,Kazakhstan,70,82
24.11. 14:30AOT,D.R. Congo,Egypt,61,65
24.11. 12:00,Israel,Estonia,88,68
24.11. 11:00,Chinese Taipei,Australia,66,104
