season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2017,1,2017-09-10,Spain,Turkey,73,56,269,0,3,3,14,13,0,73,78
2017,1,2017-09-10,Serbia,Hungary,86,78,270,0,3,3,8,23,0,68,34
2017,1,2017-09-10,Latvia,Montenegro,100,68,271,0,3,5,12,18,0,48,53
2017,1,2017-09-12,Slovenia,Latvia,103,97,272,0,3,2,20,13,0,70,48
2017,1,2017-09-12,Germany,Spain,72,84,273,0,3,2,18,15,0,30,73
2017,1,2017-09-13,Italy,Serbia,67,83,274,0,4,3,13,9,0,42,68
2017,1,2017-09-13,Greece,Russia,69,74,275,0,4,3,11,17,0,32,65
2017,1,2017-09-14,Spain,Slovenia,72,92,276,0,2,2,16,21,0,73,70
2017,1,2017-09-15,Russia,Serbia,79,87,277,0,2,2,18,10,0,65,68
2017,1,2017-09-17,Slovenia,Serbia,93,85,278,0,3,2,22,11,0,70,68
2017,1,2017-09-17,Spain,Russia,93,85,279,0,3,2,17,19,0,73,65
2017,2,2017-10-06,Saudi Arabia,Bahrain,75,72,280,1,7,7,1,1,1,66,7
2019,3,2017-11-23,Uruguay,Panama,86,73,281,1,94,7,8,1,1,82,59
2019,3,2017-11-23,Lebanon,India,107,72,282,1,7,7,1,1,1,49,36
2019,3,2017-11-23,Syria,Jordan,72,109,283,1,7,7,1,1,1,76,45
2019,3,2017-11-23,New Zealand,South Korea,80,86,284,1,100,7,2,1,1,55,71
2019,3,2017-11-24,Belgium,France,59,70,285,1,78,76,21,15,1,8,28
2019,3,2017-11-24,Great Britain,Greece,92,95,286,1,78,72,19,12,1,31,32
2019,3,2017-11-24,Montenegro,Spain,66,79,287,1,75,68,19,18,1,53,73
2019,3,2017-11-24,Netherlands,Croatia,68,61,288,1,97,75,16,11,0,54,19
2019,3,2017-11-24,Serbia,Austria,85,64,289,1,68,100,12,14,1,68,5
2019,3,2017-11-24,Germany,Georgia,79,70,290,1,73,79,19,17,1,30,29
